Time [s],Channel 0,Channel 1
2.972415250,1,0
2.972415750,0,1
2.972416250,1,1
2.972416750,0,0
2.972417250,1,0
2.972417750,0,1
2.972418250,1,1
2.972418750,0,1
2.972419250,1,1
2.972419750,0,0
2.972420250,1,0
2.972420750,0,0
2.972421250,1,0
2.972421750,0,0
2.972422250,1,0
2.972422750,0,1
2.972423250,1,1
2.972423500,0,0
2.972423750,0,1
2.972424000,1,1
2.972424500,0,0
2.972425000,1,0
2.972425500,0,0
2.972426000,1,0
2.972426500,0,1
2.972427000,1,1
2.972427500,0,1
2.972428000,1,1
2.972428500,0,0
2.972429000,1,0
2.972429500,0,0
2.972430000,1,0
2.972430500,0,1
2.972431000,1,1
2.972431500,0,1
2.972432000,1,1
2.972432500,0,1
2.972433000,1,1
2.972433500,0,0
2.972433750,1,0
2.972434250,0,0
2.972434750,1,0
2.972435250,0,0
2.972435750,1,0
2.972436250,0,1
2.972436750,1,1
2.972437250,0,1
2.972437750,1,1
2.972438250,0,1
2.972438750,1,1
2.972439250,0,0
2.972439750,1,0
2.972440250,0,0
2.972440750,1,0
2.972441250,0,0
2.972441750,1,0
2.972442250,0,0
2.972442750,1,0
2.972443250,0,1
2.972443750,1,0
2.972444000,0,0
2.972444250,0,1
2.972444500,1,1
2.972445000,0,0
2.972445250,0,1
2.972445500,1,1
2.972446000,0,1
2.972446500,1,1
2.972447000,0,0
2.972447500,1,0
2.972448000,0,0
2.972448500,1,0
2.972449000,0,0
2.972449500,1,0
2.972450000,0,1
2.972450500,1,1
2.972451000,0,1
2.972451500,1,1
2.972452000,0,0
2.972452500,1,0
2.972453000,0,0
2.972453500,1,0
2.972454000,0,1
2.972454250,1,1
2.972454750,0,0
2.972455000,0,1
2.972455250,1,1
2.972455750,0,0
2.972456250,1,0
2.972456750,0,1
2.972457250,1,1
2.972457750,0,0
2.972458250,1,0
2.972458750,0,0
2.972459250,1,0
2.972459750,0,1
2.972460250,1,1
2.972460750,0,1
2.972461250,1,1
2.972461750,0,1
2.972462250,1,1
2.972462750,0,0
2.972463250,1,0
2.972463750,0,0
2.972464250,1,0
2.972464500,0,0
2.972465000,1,0
2.972465500,0,0
2.972466000,1,0
2.972466500,0,1
2.972467000,1,1
2.972467500,0,1
2.972468000,1,1
2.972468500,0,1
2.972469000,1,1
2.972469500,0,0
2.972470000,1,0
2.972470500,0,0
2.972471000,1,0
2.972471500,0,1
2.972472000,1,1
2.972472500,0,1
